time,volume,open,high,low,close
2020-01-01T22:00:00.000000000Z,74,1.12124,1.12162,1.12124,1.12152
2020-01-01T23:00:00.000000000Z,266,1.12149,1.12224,1.12149,1.12189
2020-01-02T00:00:00.000000000Z,114,1.12187,1.12192,1.12158,1.12184
2020-01-02T01:00:00.000000000Z,219,1.12186,1.12246,1.12182,1.12209
2020-01-02T02:00:00.000000000Z,137,1.12206,1.12247,1.12185,1.12224
2020-01-02T03:00:00.000000000Z,175,1.12222,1.12232,1.12124,1.12132
2020-01-02T04:00:00.000000000Z,195,1.12135,1.12142,1.12010,1.12012
2020-01-02T05:00:00.000000000Z,193,1.12014,1.12044,1.12011,1.12044
2020-01-02T06:00:00.000000000Z,264,1.12044,1.12076,1.12039,1.12076
2020-01-02T07:00:00.000000000Z,687,1.12079,1.12102,1.12044,1.12098
2020-01-02T08:00:00.000000000Z,799,1.12100,1.12138,1.12051,1.12122
2020-01-02T09:00:00.000000000Z,642,1.12119,1.12140,1.12013,1.12032
2020-01-02T10:00:00.000000000Z,449,1.12034,1.12039,1.11930,1.11984
2020-01-02T11:00:00.000000000Z,804,1.11986,1.12022,1.11844,1.11848
2020-01-02T12:00:00.000000000Z,633,1.11846,1.11943,1.11830,1.11932
2020-01-02T13:00:00.000000000Z,724,1.11930,1.11972,1.11899,1.11966
2020-01-02T14:00:00.000000000Z,1308,1.11962,1.11965,1.11704,1.11742
2020-01-02T15:00:00.000000000Z,1579,1.11740,1.12025,1.11709,1.12006
2020-01-02T16:00:00.000000000Z,1376,1.12008,1.12030,1.11653,1.11664
2020-01-02T17:00:00.000000000Z,624,1.11662,1.11718,1.11636,1.11700
2020-01-02T18:00:00.000000000Z,582,1.11702,1.11722,1.11636,1.11704
2020-01-02T19:00:00.000000000Z,422,1.11702,1.11704,1.11644,1.11664
2020-01-02T20:00:00.000000000Z,318,1.11666,1.11716,1.11659,1.11692
2020-01-02T21:00:00.000000000Z,120,1.11694,1.11736,1.11691,1.11728
2020-01-02T22:00:00.000000000Z,58,1.11728,1.11731,1.11704,1.11720
2020-01-02T23:00:00.000000000Z,74,1.11722,1.11735,1.11702,1.11710
2020-01-03T00:00:00.000000000Z,113,1.11707,1.11760,1.11700,1.11755
2020-01-03T01:00:00.000000000Z,245,1.11758,1.11784,1.11722,1.11736
2020-01-03T02:00:00.000000000Z,444,1.11738,1.11774,1.11720,1.11728
2020-01-03T03:00:00.000000000Z,257,1.11725,1.11736,1.11697,1.11722
2020-01-03T04:00:00.000000000Z,183,1.11724,1.11750,1.11688,1.11702
2020-01-03T05:00:00.000000000Z,297,1.11704,1.11705,1.11644,1.11664
2020-01-03T06:00:00.000000000Z,321,1.11664,1.11696,1.11641,1.11692
2020-01-03T07:00:00.000000000Z,1300,1.11694,1.11718,1.11523,1.11534
2020-01-03T08:00:00.000000000Z,1074,1.11537,1.11604,1.11508,1.11511
2020-01-03T09:00:00.000000000Z,957,1.11513,1.11522,1.11401,1.11402
2020-01-03T10:00:00.000000000Z,1049,1.11404,1.11433,1.11308,1.11362
2020-01-03T11:00:00.000000000Z,820,1.11360,1.11360,1.11249,1.11300
2020-01-03T12:00:00.000000000Z,622,1.11298,1.11426,1.11283,1.11393
2020-01-03T13:00:00.000000000Z,808,1.11390,1.11488,1.11374,1.11382
2020-01-03T14:00:00.000000000Z,914,1.11380,1.11542,1.11354,1.11526
2020-01-03T15:00:00.000000000Z,1910,1.11529,1.11676,1.11529,1.11634
2020-01-03T16:00:00.000000000Z,927,1.11636,1.11799,1.11626,1.11721
2020-01-03T17:00:00.000000000Z,472,1.11724,1.11740,1.11678,1.11724
2020-01-03T18:00:00.000000000Z,562,1.11722,1.11734,1.11660,1.11670
2020-01-03T19:00:00.000000000Z,569,1.11668,1.11680,1.11614,1.11675
2020-01-03T20:00:00.000000000Z,234,1.11673,1.11673,1.11601,1.11616
2020-01-03T21:00:00.000000000Z,280,1.11614,1.11620,1.11526,1.11592
2020-01-05T22:00:00.000000000Z,144,1.11665,1.11684,1.11596,1.11597
2020-01-05T23:00:00.000000000Z,423,1.11600,1.11676,1.11596,1.11605
2020-01-06T00:00:00.000000000Z,309,1.11602,1.11684,1.11602,1.11636
2020-01-06T01:00:00.000000000Z,270,1.11639,1.11654,1.11615,1.11628
2020-01-06T02:00:00.000000000Z,165,1.11630,1.11670,1.11626,1.11655
2020-01-06T03:00:00.000000000Z,249,1.11658,1.11710,1.11658,1.11658
2020-01-06T04:00:00.000000000Z,165,1.11660,1.11662,1.11618,1.11644
2020-01-06T05:00:00.000000000Z,111,1.11646,1.11650,1.11606,1.11624
2020-01-06T06:00:00.000000000Z,272,1.11624,1.11626,1.11573,1.11608
2020-01-06T07:00:00.000000000Z,720,1.11605,1.11667,1.11599,1.11646
2020-01-06T08:00:00.000000000Z,923,1.11649,1.11799,1.11633,1.11789
2020-01-06T09:00:00.000000000Z,869,1.11787,1.11936,1.11752,1.11934
2020-01-06T10:00:00.000000000Z,693,1.11931,1.11996,1.11901,1.11963
2020-01-06T11:00:00.000000000Z,755,1.11965,1.12056,1.11963,1.12032
2020-01-06T12:00:00.000000000Z,434,1.12030,1.12044,1.11952,1.11980
2020-01-06T13:00:00.000000000Z,724,1.11983,1.12032,1.11911,1.11976
2020-01-06T14:00:00.000000000Z,740,1.11978,1.12002,1.11826,1.11832
2020-01-06T15:00:00.000000000Z,953,1.11836,1.11902,1.11822,1.11888
2020-01-06T16:00:00.000000000Z,569,1.11890,1.11898,1.11810,1.11872
2020-01-06T17:00:00.000000000Z,385,1.11870,1.11961,1.11843,1.11952
2020-01-06T18:00:00.000000000Z,264,1.11954,1.11979,1.11916,1.11919
2020-01-06T19:00:00.000000000Z,247,1.11917,1.11928,1.11880,1.11912
2020-01-06T20:00:00.000000000Z,226,1.11915,1.11938,1.11890,1.11936
